experiment,type,simTicks,simInsts,ipc,cpi,runtime_dynamic_power_W,runtime_dynamic_energy_J,total_runtime_energy_J,total_windows,switch_count,gate_leakage_W,hostSeconds,meta_cmd,meta_maxinsts,meta_outdir,meta_run_tag,meta_summary_file,meta_timestamp,meta_workload_args,meta_workload_path,numCycles,result_dir,simOps,simSeconds,subthreshold_leakage_W,meta_num_cores,avg_avg_inflight_proxy,avg_avg_outstanding_misses_proxy,avg_branch_recovery_ratio,avg_commit_activity_ratio,avg_iq_saturation_ratio,avg_squash_ratio,class_Control_dominated_count,class_Control_dominated_pct,class_High_MLP_memory_dominated_count,class_High_MLP_memory_dominated_pct,class_Resource_contention___compute_dominated_count,class_Resource_contention___compute_dominated_pct,meta_window_cycles,mode_aggressive_count,mode_aggressive_pct,mode_conservative_count,mode_conservative_pct,switch_pct,class_Serialized_memory_dominated_count,class_Serialized_memory_dominated_pct,meta_conservative_dispatch_width,meta_conservative_fetch_width,meta_conservative_inflight_cap,meta_conservative_iq_cap,meta_conservative_lsq_cap,meta_conservative_rename_width,meta_extra_params,meta_outdir_base,mode_control_profile_count,mode_control_profile_pct,mode_high_mlp_profile_count,mode_high_mlp_profile_pct,mode_resource_profile_count,mode_resource_profile_pct,mode_serialized_profile_count,mode_serialized_profile_pct
branch_entropy,baseline,27463237500,50000006,0.910308,1.098529,210.407,5.77845,6.04254,,,0.330607,932.47,/home/rock/project/gem5/build/ARM/gem5.opt --outdir=/home/rock/project/gem5/runs/baseline/branch_entropy/latest /home/rock/project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=50000000 -c workloads/branch_entropy/bin/arm/linux/branch_entropy --options=32768\ 1024\ 1,50000000,/home/rock/project/gem5/runs/baseline/branch_entropy/latest,branch_entropy,/home/rock/project/gem5/runs/baseline/branch_entropy/latest/baseline_config_summary.md,2026-03-11T21:45:09-04:00,32768 1024 1,workloads/branch_entropy/bin/arm/linux/branch_entropy,54926476,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\branch_entropy\latest,56166973,0.027463,9.28566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branch_entropy_10m_baseline,baseline,5370288500,10000003,0.931049,1.074057,210.157,1.12861,1.18025,,,0.330607,184.64,/home/rock/project/gem5/build/ARM/gem5.opt --outdir=/home/rock/project/gem5/runs/baseline/branch_entropy_10m_baseline/latest /home/rock/project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=10000000 -c workloads/branch_entropy/bin/arm/linux/branch_entropy --options=32768\ 1024\ 1,10000000,/home/rock/project/gem5/runs/baseline/branch_entropy_10m_baseline/latest,branch_entropy_10m_baseline,/home/rock/project/gem5/runs/baseline/branch_entropy_10m_baseline/latest/baseline_config_summary.md,2026-03-31T11:39:59-04:00,32768 1024 1,workloads/branch_entropy/bin/arm/linux/branch_entropy,10740578,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\branch_entropy_10m_baseline\latest,11204548,0.005370,9.28566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compute_queue_pressure,baseline,10439559500,50000000,2.394737,0.417582,247.648,2.58534,2.68573,,,0.330607,441.41,/home/rock/project/gem5/build/ARM/gem5.opt --outdir=/home/rock/project/gem5/runs/baseline/compute_queue_pressure/latest /home/rock/project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=50000000 -c workloads/compute_queue_pressure/bin/arm/linux/compute_queue_pressure --options=4096\ 8192\ 1,50000000,/home/rock/project/gem5/runs/baseline/compute_queue_pressure/latest,compute_queue_pressure,/home/rock/project/gem5/runs/baseline/compute_queue_pressure/latest/baseline_config_summary.md,2026-03-11T23:42:19-04:00,4096 8192 1,workloads/compute_queue_pressure/bin/arm/linux/compute_queue_pressure,20879120,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\compute_queue_pressure\latest,52808874,0.010440,9.28566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fetch_bandwidth_stress,baseline,2373938500,5000007,1.053104,0.949574,,,,,,,13.97,/mnt/c/Users/garsy/Documents/18742project/gem5/build/ARM/gem5.opt --outdir=/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/fetch_bandwidth_stress/latest /mnt/c/Users/garsy/Documents/18742project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=5000000 -c workloads/fetch_bandwidth_stress/bin/arm/linux/fetch_bandwidth_stress --options=100000\ 1,5000000,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/fetch_bandwidth_stress/latest,fetch_bandwidth_stress,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/fetch_bandwidth_stress/latest/baseline_config_summary.md,2026-04-13T08:54:36-04:00,100000 1,workloads/fetch_bandwidth_stress/bin/arm/linux/fetch_bandwidth_stress,4747878,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\fetch_bandwidth_stress\latest,5000016,0.002374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formal_gapbs_bc_baseline,baseline,17901760000,50000000,1.396511,0.716070,,,,,,,138.44,/mnt/c/Users/garsy/Documents/18742project/gem5/build/ARM/gem5.opt --outdir=/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_bc_baseline/latest /mnt/c/Users/garsy/Documents/18742project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=50000000 -c /mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/gapbs/bc --options=-g\ 20\ -n\ 1,50000000,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_bc_baseline/latest,formal_gapbs_bc_baseline,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_bc_baseline/latest/baseline_config_summary.md,2026-04-02T12:51:58-04:00,-g 20 -n 1,/mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/gapbs/bc,35803521,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\formal_gapbs_bc_baseline\latest,51462344,0.017902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formal_gapbs_bc_g20_baseline,baseline,17901760000,50000000,1.396511,0.716070,,,,,,,141.27,/mnt/c/Users/garsy/Documents/18742project/gem5/build/ARM/gem5.opt.bak_20260402_010655 --outdir=/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_bc_g20_baseline/latest /mnt/c/Users/garsy/Documents/18742project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=50000000 -c /mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/gapbs/bc --options=-g\ 20\ -n\ 1,50000000,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_bc_g20_baseline/latest,formal_gapbs_bc_g20_baseline,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_bc_g20_baseline/latest/baseline_config_summary.md,2026-04-02T16:44:42-04:00,-g 20 -n 1,/mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/gapbs/bc,35803521,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\formal_gapbs_bc_g20_baseline\latest,51462344,0.017902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formal_gapbs_bfs_baseline,baseline,17731631500,50000001,1.409910,0.709265,,,,,,,143.60,/mnt/c/Users/garsy/Documents/18742project/gem5/build/ARM/gem5.opt --outdir=/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_bfs_baseline/latest /mnt/c/Users/garsy/Documents/18742project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=50000000 -c /mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/gapbs/bfs --options=-g\ 20\ -n\ 1,50000000,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_bfs_baseline/latest,formal_gapbs_bfs_baseline,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_bfs_baseline/latest/baseline_config_summary.md,2026-04-02T12:47:16-04:00,-g 20 -n 1,/mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/gapbs/bfs,35463264,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\formal_gapbs_bfs_baseline\latest,51461763,0.017732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formal_gapbs_bfs_g20_baseline,baseline,17731631500,50000001,1.409910,0.709265,,,,,,,128.94,/mnt/c/Users/garsy/Documents/18742project/gem5/build/ARM/gem5.opt.bak_20260402_010655 --outdir=/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_bfs_g20_baseline/latest /mnt/c/Users/garsy/Documents/18742project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=50000000 -c /mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/gapbs/bfs --options=-g\ 20\ -n\ 1,50000000,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_bfs_g20_baseline/latest,formal_gapbs_bfs_g20_baseline,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_bfs_g20_baseline/latest/baseline_config_summary.md,2026-04-02T15:03:55-04:00,-g 20 -n 1,/mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/gapbs/bfs,35463264,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\formal_gapbs_bfs_g20_baseline\latest,51461763,0.017732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formal_gapbs_cc_g20_baseline,baseline,17722029000,50000000,1.410674,0.708881,,,,,,,122.73,/mnt/c/Users/garsy/Documents/18742project/gem5/build/ARM/gem5.opt.bak_20260402_010655 --outdir=/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_cc_g20_baseline/latest /mnt/c/Users/garsy/Documents/18742project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=50000000 -c /mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/gapbs/cc --options=-g\ 20\ -n\ 1,50000000,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_cc_g20_baseline/latest,formal_gapbs_cc_g20_baseline,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_cc_g20_baseline/latest/baseline_config_summary.md,2026-04-02T16:49:23-04:00,-g 20 -n 1,/mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/gapbs/cc,35444059,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\formal_gapbs_cc_g20_baseline\latest,51461748,0.017722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formal_gapbs_pr_baseline,baseline,17781355500,50000000,1.405969,0.711253,,,,,,,140.54,/mnt/c/Users/garsy/Documents/18742project/gem5/build/ARM/gem5.opt --outdir=/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_pr_baseline/latest /mnt/c/Users/garsy/Documents/18742project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=50000000 -c /mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/gapbs/pr --options=-g\ 20\ -n\ 1\ -i\ 10\ -t\ 1e-4,50000000,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_pr_baseline/latest,formal_gapbs_pr_baseline,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_pr_baseline/latest/baseline_config_summary.md,2026-04-02T12:56:34-04:00,-g 20 -n 1 -i 10 -t 1e-4,/mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/gapbs/pr,35562712,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\formal_gapbs_pr_baseline\latest,51462889,0.017781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
