experiment,sweep_param,sweep_value,simTicks,simInsts,ipc,fetch_cycles,fetch_squashCycles,fetch_nisnDist_mean,fetch_nisnDist_0,fetch_nisnDist_8,fetch_nisnDist_samples,fetch_predictedBranches,fetch_cacheLines,fetch_icacheSquashes,decode_decodedInsts,decode_idleCycles,decode_blockedCycles,decode_runCycles,rename_renamedInsts,rename_idleCycles,rename_blockCycles,rename_runCycles,rename_IQFullEvents,rename_LQFullEvents,rename_SQFullEvents,rename_ROBFullEvents,rename_renamedOperands,numIssuedDist_mean,numIssuedDist_0,numIssuedDist_samples,lsq_forwLoads,lsq_blockedByCache,lsq_memOrderViolation,commit_numCommittedDist_mean,commit_numCommittedDist_0,commit_numCommittedDist_8,commit_branchMispredicts,rob_reads,rob_writes,iew_memOrderViolation
baseline,none,baseline,8597293500,50000003,2.907892,12327984,407296,3.894424,5769105,6642541,17193820,912428,4499494,31795,63176618,3138718,4724091,6849560,62144404,4066490,1327752,8183119,2754425,266315,21216,,71298611,3.118120,2355393,17193820,2677982,4,9457,3.168815,4567024,3469386,194320,72741002,122270614,9457
sweep_dw1,dw1,dw1,29111771500,50000000,0.858759,53726765,386020,1.065333,47010252,5342222,58222825,784751,4114692,4923,53231615,3711187,47354988,887596,51820927,4100456,47135841,3256828,,,6283,,59067544,0.864359,11494047,58222825,24740,1,0,0.863360,21991749,3,193007,166652602,103623896,0
sweep_dw2,dw2,dw2,16764480500,50000001,1.491248,29031364,386136,1.837581,22489574,5303797,33528216,784751,4114875,4404,53415333,3695254,22637162,854685,52122573,4101373,22380131,3263414,,,12764,,59507788,1.517511,5360917,33528216,33502,1,58,1.504923,9820321,115775,193007,117220723,103723892,58
sweep_dw3,dw3,dw3,13609783000,50000003,1.836914,22721838,386156,2.260780,16230698,5265310,27218809,784757,4114941,4358,53503569,3731447,16297583,841117,52257054,4098902,16068665,3307980,,,17441,,59642914,1.889239,4224410,27218809,569581,1,113,1.857737,7089319,334619,193008,104587811,103776975,113
sweep_dw4,dw4,dw4,8552143000,50000003,2.923244,12393587,400530,3.801948,5711535,6052386,17103531,859021,4346543,27146,59382602,1010629,8309806,6027953,58606020,1262255,7886469,6822319,225201,31943,21925,,67633969,3.141110,1835852,17103531,2432415,1,6401,3.099963,4499743,3258284,193995,86955064,115112586,6401
sweep_dw5,dw5,dw5,8469223500,50000003,2.951864,12253145,392636,3.817554,5648328,6058903,16937695,857033,4329901,27061,59278618,996090,8195026,6072553,58345264,1251175,7781328,6795428,235311,29376,21636,,67220336,3.168722,1835043,16937695,2440906,1,2501,3.127063,4397610,3233556,193934,86490367,114636872,2501
sweep_dw6,dw6,dw6,8498317500,50000003,2.941759,12295759,397706,3.815383,5673434,6082021,16995873,859017,4344599,31387,59406455,1014150,8212073,6089410,58444203,1324275,7749332,6706388,241235,23904,21543,,67355858,3.161324,1888373,16995873,2430847,1,4991,3.117429,4380099,3199851,193968,86687941,114793000,4991
sweep_dw7,dw7,dw7,8468828000,50000003,2.952002,12246917,395092,3.819195,5649869,6081662,16936894,857508,4331490,25769,59327612,1015199,8165430,6098847,58350308,1365784,7669450,6617560,236791,25521,21543,,67217572,3.172936,1919124,16936894,2475713,1,3671,3.126475,4423899,3225351,193966,86471084,114580158,3671
sweep_dw8,dw8,dw8,8597217500,50000003,2.907918,12327832,407296,3.894457,5768959,6642541,17193674,912428,4499494,31795,63176618,3138466,4724455,6849130,62144404,4066238,1327216,8182775,2754425,266315,22116,,71298611,3.118146,2355241,17193674,2677982,1,9457,3.168844,4566873,3469386,194320,89868193,122270614,9457
sweep_fw1,fw1,fw1,27765385000,50000000,0.900402,51658858,386020,0.918858,4515325,1057,55529971,733959,3484915,14,50831173,4508881,7008,50820871,50638179,4701948,792,50627944,,,6213,,57439711,0.904041,9165719,55529971,2,1,0,0.903704,20371780,3,193007,159957150,100697366,0
sweep_fw2,fw2,fw2,15938579000,50000000,1.568521,27954462,386020,1.624907,4567852,1057,31876380,784746,3728693,193006,51603152,4558174,15085,27109155,51318736,4700831,1940,26967393,,,13145,,58394528,1.583322,3539712,31876380,34002,1,0,1.578375,9654213,3,193007,112938907,101286504,0
sweep_fw2_cap128,fw2_cap128,fw2_cap128,15938579000,50000000,1.568521,27954462,386020,1.624907,4567852,1057,31876380,784746,3728693,193006,51603152,4558174,15085,27109155,51318736,4700831,1940,26967393,,,13145,,58394528,1.583322,3539712,31876380,34002,1,0,1.578375,9654213,3,193007,112938907,101286504,0
sweep_fw2_cap64,fw2_cap64,fw2_cap64,15938579000,50000000,1.568521,27954462,386020,1.624907,4567852,1057,31876380,784746,3728693,193006,51603152,4558174,15085,27109155,51318736,4700831,1940,26967393,,,13145,,58394528,1.583322,3539712,31876380,34002,1,0,1.578375,9654213,3,193007,112938907,101286504,0
sweep_fw2_cap96,fw2_cap96,fw2_cap96,15938579000,50000000,1.568521,27954462,386020,1.624907,4567852,1057,31876380,784746,3728693,193006,51603152,4558174,15085,27109155,51318736,4700831,1940,26967393,,,13145,,58394528,1.583322,3539712,31876380,34002,1,0,1.578375,9654213,3,193007,112938907,101286504,0
sweep_fw3,fw3,fw3,11255752500,50000003,2.221087,18395451,386202,2.345727,4131528,1057,22510721,784777,3728907,55,52224895,4112856,72852,18130934,51798038,4255604,52837,17989103,,,20015,,58732305,2.285160,1447658,22510721,1499357,1,120,2.245873,5641158,1054804,193008,94475916,102884151,120
sweep_fw4,fw4,fw4,9970801500,50000003,2.507321,15825136,386354,2.675162,4770820,1057,19940827,784810,3729156,36,52572670,4751606,72830,14922368,51800451,4944981,53004,14729587,,,19826,,58734811,2.580616,1247933,19940827,1583491,1,200,2.538930,4333272,1974681,193008,89068305,103456898,200
sweep_fw4_cap128,fw4_cap128,fw4_cap128,9970801500,50000003,2.507321,15825136,386354,2.675162,4770820,1057,19940827,784810,3729156,36,52572670,4751606,72830,14922368,51800451,4944981,53004,14729587,,,19826,,58734811,2.580616,1247933,19940827,1583491,1,200,2.538930,4333272,1974681,193008,89068305,103456898,200
sweep_fw4_cap64,fw4_cap64,fw4_cap64,9970802500,50000003,2.507321,15825117,386354,2.675159,4770841,1057,19940829,784807,3729151,34,52572587,4751631,72828,14922349,51800404,4944997,53002,14729575,,,19826,,58734740,2.580616,1247929,19940829,1583491,1,200,2.538929,4333272,1974678,193008,89068296,103456860,200
sweep_fw4_cap96,fw4_cap96,fw4_cap96,9970801500,50000003,2.507321,15825136,386354,2.675162,4770820,1057,19940827,784810,3729156,36,52572670,4751606,72830,14922368,51800451,4944981,53004,14729587,,,19826,,58734811,2.580616,1247933,19940827,1583491,1,200,2.538930,4333272,1974681,193008,89068305,103456898,200
sweep_fw5,fw5,fw5,8406869500,50000003,2.973759,12691599,386894,3.250248,4779998,1057,16812968,784964,3741185,6888,53691531,4559804,227181,11826624,52729047,4752947,203335,11639064,1373,166,22116,,60173854,3.069104,1189895,16812968,1636809,1,447,3.045875,3466389,2524609,193010,82548728,104116041,447
sweep_fw6,fw6,fw6,8320584000,50000003,3.004597,12302158,395660,3.564034,4390110,1057,16640397,804904,4042023,96281,58433735,3836425,1158945,11012900,57551181,4135159,612735,11143270,405696,43007,22116,,66216999,3.177762,1808031,16640397,2381039,1,4822,3.153072,4499506,3360828,193143,84800991,112168835,4822
sweep_fw7,fw7,fw7,8653767000,50000003,2.888915,12442611,399392,3.864436,5597960,1057,17306773,916929,4504093,29096,63027959,3121750,4861457,6711080,62053952,4045562,1309137,8181279,2855970,268468,22116,,71205365,3.093068,2390339,17306773,2649936,1,5552,3.140971,4579110,3422260,194302,90075129,122017826,5552
sweep_fw8,fw8,fw8,8597217500,50000003,2.907918,12327832,407296,3.894457,5768959,6642541,17193674,912428,4499494,31795,63176618,3138466,4724455,6849130,62144404,4066238,1327216,8182775,2754425,266315,22116,,71298611,3.118146,2355241,17193674,2677982,1,9457,3.168844,4566873,3469386,194320,89868193,122270614,9457
