window_id,cycles,class,target_mode,applied_mode,switched,fetched_insts,committed_insts,squashed_insts,branch_mispredicts,commit_blocked_mem_cycles,avg_outstanding_misses_proxy,avg_iq_occupancy,iq_saturation_ratio,branch_recovery_ratio,squash_ratio,commit_activity_ratio,avg_inflight_proxy
1,5000,Resource-contention / compute dominated,aggressive,aggressive,0,5766,2108,2125,67,714,18.7484,9.0454,0.0288,0.0698,0.36854,0.365591,25.0302
2,5000,High-MLP memory dominated,aggressive,aggressive,0,4899,2059,1496,42,1521,16.9948,20.1334,0.1932,0.0442,0.305368,0.42029,42.9022
3,5000,Resource-contention / compute dominated,aggressive,aggressive,0,8135,2899,2711,129,574,9.8902,8.8496,0.0462,0.0868,0.333251,0.356361,22.802
4,5000,High-MLP memory dominated,aggressive,aggressive,0,6378,3542,1126,66,766,18.254,8.2922,0.023,0.0356,0.176544,0.555347,50.4146
5,5000,Resource-contention / compute dominated,aggressive,aggressive,0,9432,7552,997,26,194,19.9936,20.1238,0.143,0.027,0.105704,0.800679,50.4796
6,5000,High-MLP memory dominated,aggressive,aggressive,0,13004,9755,2004,67,1063,22.2522,29.1172,0.03,0.0554,0.154106,0.750154,67.2382
7,5000,Resource-contention / compute dominated,aggressive,aggressive,0,11537,7620,2211,90,338,17.3562,17.6108,0.1574,0.0628,0.191644,0.660484,43.611
8,5000,Resource-contention / compute dominated,aggressive,aggressive,0,11561,8122,1654,45,331,14.1306,13.067,0.0214,0.045,0.143067,0.702534,41.1264
9,5000,Resource-contention / compute dominated,aggressive,aggressive,0,7891,4657,1906,62,505,15.0056,8.833,0.0244,0.0612,0.241541,0.590166,25.1406
10,5000,High-MLP memory dominated,aggressive,aggressive,0,5910,2547,1664,73,1600,18.6884,14.6756,0.118,0.055,0.281557,0.430964,52.3596
11,5000,Control dominated,conservative,aggressive,0,13857,6576,4135,168,359,8.6084,6.819,0,0.1294,0.298405,0.474562,26.4938
12,5000,Resource-contention / compute dominated,aggressive,aggressive,0,13697,8573,2773,121,584,10.9938,7.7798,0,0.081,0.202453,0.625903,25.9188
13,5000,Resource-contention / compute dominated,aggressive,aggressive,0,13089,9346,1837,91,528,12.2126,7.7882,0,0.055,0.140347,0.714035,21.9094
14,5000,Resource-contention / compute dominated,aggressive,aggressive,0,12112,8839,1705,87,426,9.6162,10.318,0.033,0.0528,0.140769,0.729772,24.797
15,5000,High-MLP memory dominated,aggressive,aggressive,0,6210,4881,535,25,1420,19.9498,11.1728,0,0.0178,0.0861514,0.78599,29.767
16,5000,High-MLP memory dominated,aggressive,aggressive,0,11584,8206,2009,62,751,17.8942,39.8026,0,0.0642,0.173429,0.708391,97.6998
17,5000,Control dominated,conservative,aggressive,0,19494,4044,10385,220,34,2.319,7.7112,0,0.2884,0.532728,0.207448,36.361
18,5000,Control dominated,conservative,conservative,1,18584,4604,9482,219,32,2.429,7.6798,0,0.2648,0.510224,0.24774,34.071
19,5000,Resource-contention / compute dominated,aggressive,conservative,0,7539,5014,1306,159,138,1.1608,2.0024,0,0.0408,0.173233,0.665075,7.1224
20,5000,Resource-contention / compute dominated,aggressive,conservative,0,7531,5414,1031,138,224,1.63,2.0268,0,0.032,0.136901,0.718895,7.0766
21,5000,Resource-contention / compute dominated,aggressive,aggressive,1,7571,4845,1383,170,66,1.0554,1.8928,0,0.0436,0.182671,0.639942,6.911
22,5000,Control dominated,conservative,aggressive,0,16682,6570,6695,189,47,3.3776,8.3992,0,0.1884,0.401331,0.393838,29.8138
23,5000,Control dominated,conservative,aggressive,0,15384,6263,6372,172,162,8.1796,14.8702,0.0002,0.1794,0.414197,0.407111,41.0244
24,5000,Control dominated,conservative,conservative,1,16313,5799,7125,207,34,2.5348,7.167,0,0.2016,0.436768,0.355483,27.063
25,5000,Resource-contention / compute dominated,aggressive,conservative,0,7594,5554,1025,136,276,1.6452,2.1442,0,0.035,0.134975,0.731367,7.4046
26,5000,Resource-contention / compute dominated,aggressive,conservative,0,7639,5196,1211,154,123,1.259,2.0046,0,0.0402,0.158529,0.680194,7.156
27,5000,Resource-contention / compute dominated,aggressive,aggressive,1,7498,5425,987,138,42,1.0706,2.0506,0,0.0308,0.131635,0.723526,7.1404
28,5000,Control dominated,conservative,aggressive,0,15076,7251,5335,156,151,8.9166,15.9072,0,0.153,0.353874,0.480963,41.4902
29,5000,Control dominated,conservative,aggressive,0,15969,6205,6716,199,49,2.7638,7.3214,0,0.1898,0.420565,0.388565,26.7228
30,5000,Control dominated,conservative,conservative,1,15912,6264,6492,206,44,2.6988,7.1866,0,0.1878,0.407994,0.393665,26.2902
31,5000,Resource-contention / compute dominated,aggressive,conservative,0,7581,6051,737,102,328,1.8646,2.2758,0,0.023,0.0972167,0.79818,7.6218
32,5000,Resource-contention / compute dominated,aggressive,conservative,0,7495,5156,1108,156,51,1.0484,1.9736,0,0.0358,0.147832,0.687925,6.9206
33,5000,Resource-contention / compute dominated,aggressive,aggressive,1,7469,5247,1053,150,66,1.1216,1.9928,0,0.0338,0.140983,0.702504,6.9708
34,5000,Control dominated,conservative,aggressive,0,14793,6784,5478,170,163,8.8224,15.4892,0.0002,0.1578,0.37031,0.458595,40.407
35,5000,Control dominated,conservative,aggressive,0,15608,6870,5882,192,60,2.7898,7.2216,0,0.169,0.376858,0.440159,25.0856
36,5000,Control dominated,conservative,conservative,1,14496,7050,5193,158,153,8.8484,15.6382,0,0.1468,0.358237,0.486341,40.0894
37,5000,Resource-contention / compute dominated,aggressive,conservative,0,7514,5206,1121,153,69,1.1218,2.0068,0,0.0356,0.149188,0.69284,7.0582
38,5000,Resource-contention / compute dominated,aggressive,conservative,0,7530,5167,1129,155,53,1.0326,1.97,0,0.0352,0.149934,0.686189,6.951
39,5000,Resource-contention / compute dominated,aggressive,aggressive,1,7565,6100,690,98,321,1.8758,2.2878,0,0.0216,0.0912095,0.806345,7.6374
40,5000,Control dominated,conservative,aggressive,0,16037,6286,6602,204,53,2.7216,7.2234,0,0.188,0.411673,0.391969,26.2386
41,5000,Control dominated,conservative,aggressive,0,15882,6457,6318,200,59,2.7124,7.2324,0,0.181,0.397809,0.406561,25.854
42,5000,Control dominated,conservative,conservative,1,14272,8209,3959,145,166,9.0318,15.7342,0.0002,0.118,0.277396,0.575182,38.818
43,5000,Resource-contention / compute dominated,aggressive,conservative,0,7471,4922,1221,172,43,0.9872,1.9062,0,0.0392,0.163432,0.658814,6.7662
44,5000,Resource-contention / compute dominated,aggressive,conservative,0,7611,6170,672,97,334,2.052,2.313,0,0.022,0.0882933,0.810669,7.7276
45,5000,Resource-contention / compute dominated,aggressive,aggressive,1,7511,5284,1060,148,58,1.08,2.0092,0,0.034,0.141126,0.703502,7.0468
46,5000,Control dominated,conservative,aggressive,0,15556,6423,6201,205,61,2.6384,6.9972,0,0.1788,0.398624,0.412895,24.8684
47,5000,Control dominated,conservative,aggressive,0,14831,7318,4966,160,162,8.8766,15.5858,0,0.1432,0.334839,0.493426,39.8562
48,5000,Control dominated,conservative,conservative,1,15439,6075,6372,204,47,2.654,7,0,0.1824,0.412721,0.393484,24.9152
49,5000,Resource-contention / compute dominated,aggressive,conservative,0,7505,5210,1070,156,41,1.0322,1.9884,0,0.0352,0.142572,0.694204,6.9528
50,5000,Resource-contention / compute dominated,aggressive,conservative,0,7555,6108,651,102,309,1.8684,2.2838,0,0.0216,0.0861681,0.808471,7.6008
51,5000,Resource-contention / compute dominated,aggressive,aggressive,1,7544,5202,1134,154,87,1.1342,1.9988,0,0.0372,0.150318,0.689555,7.047
52,5000,Control dominated,conservative,aggressive,0,14711,7345,4856,173,114,6.568,12.1066,0,0.1432,0.330093,0.499286,32.9004
53,5000,Control dominated,conservative,aggressive,0,15294,6646,5722,192,105,5.012,10.482,0,0.1666,0.374134,0.434549,30.9116
54,5000,Control dominated,conservative,conservative,1,15514,6381,6087,201,62,2.695,7.0788,0,0.1756,0.392355,0.411306,24.777
55,5000,Resource-contention / compute dominated,aggressive,conservative,0,7591,6136,733,97,326,1.8858,2.314,0,0.0222,0.0965617,0.808326,7.718
56,5000,Resource-contention / compute dominated,aggressive,conservative,0,7512,5437,975,138,39,1.0732,2.0592,0,0.0312,0.129792,0.723775,7.1372
57,5000,Resource-contention / compute dominated,aggressive,aggressive,1,7483,5417,935,143,132,1.536,2.0362,0,0.0304,0.12495,0.723908,7.02
58,5000,Control dominated,conservative,aggressive,0,14785,7533,4783,155,164,8.9154,15.6916,0,0.1378,0.323504,0.509503,39.9252
