
---------- Begin Simulation Statistics ----------
simSeconds                                   0.019942                       # Number of seconds simulated (Second)
simTicks                                  19942339500                       # Number of ticks simulated (Tick)
finalTick                                 19942339500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    669.82                       # Real time elapsed on the host (Second)
hostTickRate                                 29772657                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2303180                       # Number of bytes of host memory used (Byte)
simInsts                                     50000000                       # Number of instructions simulated (Count)
simOps                                       50484996                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    74647                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      75371                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         39884680                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.797694                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.253614                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        75171428                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      129                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       68686919                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   9386                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             24686553                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          36416924                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  58                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            39822976                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.724806                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.634655                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  10599478     26.62%     26.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9622126     24.16%     50.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  10003577     25.12%     75.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4454979     11.19%     87.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2432231      6.11%     93.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1015585      2.55%     95.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1239035      3.11%     98.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    196077      0.49%     99.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    259888      0.65%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              39822976                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   52837     91.98%     91.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      4      0.01%     91.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     91.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     91.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     91.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     91.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     91.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     91.99% # attempts to use FU when none available (Count)
