window_id,cycles,class,target_mode,applied_mode,switched,fetched_insts,committed_insts,squashed_insts,branch_mispredicts,commit_blocked_mem_cycles,avg_outstanding_misses_proxy,avg_iq_occupancy,iq_saturation_ratio,branch_recovery_ratio,squash_ratio,commit_activity_ratio,avg_inflight_proxy
1,5000,Resource-contention / compute dominated,aggressive,aggressive,0,4142,3917,155,13,179,29.44,2.6228,0,0.0054,0.0374215,0.945678,6.1862
2,5000,Resource-contention / compute dominated,aggressive,aggressive,0,4152,4143,0,0,99,30.414,2.7158,0,0,0,0.997832,6.1732
3,5000,Resource-contention / compute dominated,aggressive,aggressive,0,4168,4176,0,0,96,30.4144,2.7162,0,0,0,1.00192,6.1844
4,5000,Resource-contention / compute dominated,aggressive,aggressive,0,3624,3616,0,0,87,30.6078,2.407,0,0,0,0.997792,5.4284
5,5000,Resource-contention / compute dominated,aggressive,aggressive,0,4176,4176,0,0,96,30.4142,2.724,0,0,0,1,6.1972
6,5000,Resource-contention / compute dominated,aggressive,aggressive,0,4104,4113,0,0,96,30.4384,2.6786,0,0,0,1.00219,6.0936
7,5000,Resource-contention / compute dominated,aggressive,aggressive,0,3712,3712,0,0,87,30.5866,2.4392,0,0,0,1,5.5296
8,5000,Resource-contention / compute dominated,aggressive,aggressive,0,4096,4096,0,0,96,30.4384,2.6784,0,0,0,1,6.088
9,5000,Resource-contention / compute dominated,aggressive,aggressive,0,4096,4096,0,0,96,30.4384,2.6784,0,0,0,1,6.088
10,5000,Resource-contention / compute dominated,aggressive,aggressive,0,3712,3712,0,0,87,30.5804,2.5208,0,0,0,1,5.6124
11,5000,Resource-contention / compute dominated,aggressive,aggressive,0,4096,4096,0,0,96,30.4384,2.6784,0,0,0,1,6.088
12,5000,Resource-contention / compute dominated,aggressive,aggressive,0,4096,4096,0,0,96,30.4384,2.6784,0,0,0,1,6.088
13,5000,Resource-contention / compute dominated,aggressive,aggressive,0,3712,3712,0,0,87,30.5804,2.5208,0,0,0,1,5.6124
14,5000,Resource-contention / compute dominated,aggressive,aggressive,0,4096,4096,0,0,96,30.4384,2.6784,0,0,0,1,6.088
15,5000,Resource-contention / compute dominated,aggressive,aggressive,0,4144,4135,0,0,99,30.4142,2.7134,0,0,0,0.997828,6.1656
16,5000,Resource-contention / compute dominated,aggressive,aggressive,0,3760,3760,0,0,87,30.5594,2.476,0,0,0,1,5.6092
17,5000,Resource-contention / compute dominated,aggressive,aggressive,0,4128,4137,0,0,96,30.4384,2.6954,0,0,0,1.00218,6.126
18,5000,Resource-contention / compute dominated,aggressive,aggressive,0,4096,4096,0,0,96,30.4384,2.6784,0,0,0,1,6.088
19,5000,Resource-contention / compute dominated,aggressive,aggressive,0,3712,3712,0,0,87,30.5836,2.4528,0,0,0,1,5.5432
20,5000,Resource-contention / compute dominated,aggressive,aggressive,0,4096,4096,0,0,96,30.4352,2.7464,0,0,0,1,6.1572
