
---------- Begin Simulation Statistics ----------
simSeconds                                   0.016803                       # Number of seconds simulated (Second)
simTicks                                  16802677500                       # Number of ticks simulated (Tick)
finalTick                                 16802677500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    368.86                       # Real time elapsed on the host (Second)
hostTickRate                                 45552846                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2253932                       # Number of bytes of host memory used (Byte)
simInsts                                     50000001                       # Number of instructions simulated (Count)
simOps                                       50000010                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   135552                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     135552                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         33605356                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.672107                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.487858                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        62897563                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.instsIssued                       55475903                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    874                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             12897479                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          32991493                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            33604860                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.650830                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.100708                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4976470     14.81%     14.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  10636195     31.65%     46.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  11191192     33.30%     79.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5281453     15.72%     95.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1099520      3.27%     98.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    308436      0.92%     99.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    108454      0.32%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      3139      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              33604860                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   24883     99.99%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.99% # attempts to use FU when none available (Count)
