
---------- Begin Simulation Statistics ----------
simSeconds                                   0.053430                       # Number of seconds simulated (Second)
simTicks                                  53430313500                       # Number of ticks simulated (Tick)
finalTick                                 53430313500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    885.89                       # Real time elapsed on the host (Second)
hostTickRate                                 60312786                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2257000                       # Number of bytes of host memory used (Byte)
simInsts                                     50000001                       # Number of instructions simulated (Count)
simOps                                       54049888                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    56441                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      61012                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        106860628                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.137213                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.467899                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       108831463                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.instsIssued                       78634690                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    486                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             54781495                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         144889160                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples           106859484                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.735870                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.391846                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  74568957     69.78%     69.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  10532594      9.86%     79.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  10475524      9.80%     89.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4165566      3.90%     93.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2963379      2.77%     96.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2688029      2.52%     98.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    995674      0.93%     99.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    371443      0.35%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     98318      0.09%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             106859484                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  395881     99.99%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      1      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     99.99% # attempts to use FU when none available (Count)
