
---------- Begin Simulation Statistics ----------
simSeconds                                   0.013073                       # Number of seconds simulated (Second)
simTicks                                  13072561000                       # Number of ticks simulated (Tick)
finalTick                                 13072561000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    181.27                       # Real time elapsed on the host (Second)
hostTickRate                                 72115984                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2257008                       # Number of bytes of host memory used (Byte)
simInsts                                     10000000                       # Number of instructions simulated (Count)
simOps                                       11747392                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    55166                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      64805                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         26145123                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.614512                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.382481                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        21353972                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.instsIssued                       16077762                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     90                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              9606482                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          25286685                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            26144156                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.614966                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.527830                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  21087709     80.66%     80.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1342979      5.14%     85.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1007699      3.85%     89.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    716415      2.74%     92.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    621187      2.38%     94.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    655232      2.51%     97.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    279619      1.07%     98.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    335010      1.28%     99.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     98306      0.38%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              26144156                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  193816    100.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%    100.00% # attempts to use FU when none available (Count)
