
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012966                       # Number of seconds simulated (Second)
simTicks                                  12965686000                       # Number of ticks simulated (Tick)
finalTick                                 12965686000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    174.93                       # Real time elapsed on the host (Second)
hostTickRate                                 74120719                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2255980                       # Number of bytes of host memory used (Byte)
simInsts                                     10000000                       # Number of instructions simulated (Count)
simOps                                       11747392                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    57167                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      67156                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         25931373                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.593137                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.385633                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        19836967                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.instsIssued                       15406110                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     46                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              8089477                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          21291336                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            25930406                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.594133                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.454503                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  20431132     78.79%     78.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1983966      7.65%     86.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1109431      4.28%     90.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    679051      2.62%     93.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    600058      2.31%     95.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    524013      2.02%     97.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    171758      0.66%     98.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    332692      1.28%     99.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     98305      0.38%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              25930406                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  160944     99.99%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     99.99% # attempts to use FU when none available (Count)
