
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012968                       # Number of seconds simulated (Second)
simTicks                                  12967659000                       # Number of ticks simulated (Tick)
finalTick                                 12967659000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    176.89                       # Real time elapsed on the host (Second)
hostTickRate                                 73310853                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2257004                       # Number of bytes of host memory used (Byte)
simInsts                                     10000000                       # Number of instructions simulated (Count)
simOps                                       11747392                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    56534                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      66412                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         25935319                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.593532                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.385575                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        19870073                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.instsIssued                       15420090                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     49                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              8122587                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          21382332                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            25934352                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.594582                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.456423                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  20450034     78.85%     78.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1963258      7.57%     86.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1106986      4.27%     90.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    680202      2.62%     93.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    601325      2.32%     95.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    527692      2.03%     97.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    173796      0.67%     98.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    332754      1.28%     99.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     98305      0.38%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              25934352                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  161475     99.99%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.99% # attempts to use FU when none available (Count)
