window_id,cycles,class,target_mode,applied_mode,switched,fetched_insts,committed_insts,squashed_insts,branch_mispredicts,commit_blocked_mem_cycles,avg_outstanding_misses_proxy,avg_iq_occupancy,iq_saturation_ratio,branch_recovery_ratio,squash_ratio,commit_activity_ratio,avg_inflight_proxy
1,5000,Resource-contention / compute dominated,aggressive,aggressive,0,5519,2222,1895,65,704,18.588,6.4456,0,0.0626,0.343359,0.402609,22.3356
2,5000,Resource-contention / compute dominated,aggressive,aggressive,0,5887,2556,1683,65,621,11.0312,8.493,0.008,0.0504,0.285884,0.434177,24.394
3,5000,Control dominated,conservative,aggressive,0,8725,2884,3328,144,714,10.3736,8.2486,0.0192,0.1062,0.381433,0.330544,25.8416
4,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6801,4059,1363,61,669,18.4368,6.8468,0.0268,0.0436,0.200412,0.596824,24.1398
5,5000,Resource-contention / compute dominated,aggressive,aggressive,0,4724,4560,64,0,179,30.4534,1.446,0,0.0016,0.0135478,0.965284,6.389
6,5000,Resource-contention / compute dominated,aggressive,aggressive,0,5314,5120,81,0,158,30.263,1.6686,0,0.0022,0.0152428,0.963493,7.3938
7,5000,Resource-contention / compute dominated,aggressive,aggressive,0,5314,5120,81,0,159,30.2624,1.6656,0,0.0022,0.0152428,0.963493,7.387
8,5000,Resource-contention / compute dominated,aggressive,aggressive,0,4930,4662,103,5,168,30.0274,1.6426,0,0.0034,0.0208925,0.945639,6.709
9,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6171,5999,97,0,351,29.3408,5.3042,0,0.0026,0.0157187,0.972128,16.3174
10,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6185,6005,97,0,355,29.4202,5.0054,0,0.0026,0.0156831,0.970897,14.6386
11,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6210,6140,0,0,358,29.4806,5.0182,0,0,0,0.988728,14.331
12,5000,Resource-contention / compute dominated,aggressive,aggressive,0,5665,5568,97,0,319,29.5464,4.5708,0,0.0026,0.0171227,0.982877,13.3414
13,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6602,6153,258,9,418,29.1772,5.203,0,0.0068,0.0390791,0.93199,15.3062
14,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6207,6034,97,0,353,29.34,5.0572,0,0.0026,0.0156275,0.972128,14.7652
15,5000,Resource-contention / compute dominated,aggressive,aggressive,0,5759,5582,97,0,327,29.4956,4.692,0,0.0026,0.0168432,0.969265,13.7332
16,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6217,6048,97,0,351,29.4156,5.0378,0,0.0026,0.0156024,0.972816,14.7236
17,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6431,6153,132,3,365,29.2234,5.1634,0,0.0036,0.0205256,0.956772,15.0576
18,5000,Resource-contention / compute dominated,aggressive,aggressive,0,5741,5568,97,0,322,29.512,4.6748,0,0.0026,0.016896,0.969866,13.6756
19,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6279,6092,97,0,358,29.3056,5.1198,0,0.0026,0.0154483,0.970218,14.9422
20,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6191,6011,97,0,353,29.346,5.0212,0,0.0026,0.0156679,0.970926,14.6586
21,5000,Resource-contention / compute dominated,aggressive,aggressive,0,5746,5570,109,1,323,29.5224,4.6666,0,0.003,0.0189697,0.96937,13.6674
22,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6317,6144,97,0,358,29.3056,5.1344,0,0.0026,0.0153554,0.972614,14.9908
23,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6225,6048,97,0,358,29.3236,5.0744,0,0.0026,0.0155823,0.971566,14.8228
24,5000,Resource-contention / compute dominated,aggressive,aggressive,0,5765,5575,97,0,327,29.5592,4.6802,0,0.0026,0.0168257,0.967042,13.6852
25,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6226,6050,104,1,351,29.3692,5.0458,0,0.0028,0.0167041,0.971731,14.753
26,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6317,6144,97,0,364,29.3056,5.1344,0,0.0026,0.0153554,0.972614,14.9908
27,5000,Resource-contention / compute dominated,aggressive,aggressive,0,5741,5568,97,0,322,29.512,4.6748,0,0.0026,0.016896,0.969866,13.6756
28,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6225,6049,97,0,355,29.3276,5.0588,0,0.0026,0.0155823,0.971727,14.776
29,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6217,6047,97,0,349,29.3524,5.0568,0,0.0026,0.0156024,0.972656,14.7672
30,5000,Resource-contention / compute dominated,aggressive,aggressive,0,5786,5577,121,1,325,29.5338,4.7018,0,0.0032,0.0209125,0.963878,13.7498
31,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6317,6144,97,0,358,29.3056,5.1344,0,0.0026,0.0153554,0.972614,14.9908
32,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6285,6108,97,0,358,29.3056,5.1244,0,0.0026,0.0154336,0.971838,14.9578
33,5000,Resource-contention / compute dominated,aggressive,aggressive,0,5663,5494,97,0,317,29.5464,4.6076,0,0.0026,0.0171287,0.970157,13.483
