window_id,cycles,class,target_mode,applied_mode,switched,fetched_insts,committed_insts,squashed_insts,branch_mispredicts,commit_blocked_mem_cycles,avg_outstanding_misses_proxy,avg_iq_occupancy,iq_saturation_ratio,branch_recovery_ratio,squash_ratio,commit_activity_ratio,avg_inflight_proxy
1,5000,Serialized-memory dominated,conservative,aggressive,0,3995,3670,211,13,338,29.4146,0.8046,0,0.0056,0.052816,0.918648,4.3058
2,5000,Serialized-memory dominated,conservative,conservative,1,4204,4212,0,0,298,30.283,0.807,0,0,0,1.0019,4.46
3,5000,Serialized-memory dominated,conservative,conservative,0,3825,3814,0,0,3241,29.0974,0.628,0,0,0,0.997124,6.1728
4,5000,Serialized-memory dominated,conservative,conservative,0,3738,3738,0,0,3405,29.3594,0.6248,0,0,0,1,7.1522
5,5000,Serialized-memory dominated,conservative,conservative,0,4080,4080,0,0,3182,29.1158,0.6856,0,0,0,1,7.0008
6,5000,Serialized-memory dominated,conservative,conservative,0,4143,4148,0,0,2359,29.524,0.7092,0,0,0,1.00121,6.123
7,5000,Serialized-memory dominated,conservative,conservative,0,3755,3747,0,0,1403,29.5858,0.6326,0,0,0,0.99787,4.684
8,5000,Serialized-memory dominated,conservative,conservative,0,4106,4141,0,0,2849,29.136,0.68,0,0,0,1.00852,6.0162
9,5000,Serialized-memory dominated,conservative,conservative,0,4112,4080,0,0,3475,29.128,0.6596,0,0,0,0.992218,6.3968
10,5000,Serialized-memory dominated,conservative,conservative,0,3667,3672,0,0,2930,29.4682,0.5998,0,0,0,1.00136,5.6608
11,5000,Serialized-memory dominated,conservative,conservative,0,4087,4090,0,0,2060,29.2544,0.6812,0,0,0,1.00073,5.4166
12,5000,Serialized-memory dominated,conservative,conservative,0,4214,4206,0,0,1472,29.2942,0.7036,0,0,0,0.998102,5.1066
13,5000,Serialized-memory dominated,conservative,conservative,0,3708,3740,0,0,1428,29.6096,0.6306,0,0,0,1.00863,4.7298
14,5000,Serialized-memory dominated,conservative,conservative,0,4175,4148,0,0,1588,29.353,0.6946,0,0,0,0.993533,5.2132
15,5000,Serialized-memory dominated,conservative,conservative,0,4095,4087,0,0,2011,29.2828,0.6828,0,0,0,0.998046,5.382
16,5000,Serialized-memory dominated,conservative,conservative,0,3793,3801,0,0,1902,29.507,0.6346,0,0,0,1.00211,5.0874
17,5000,Serialized-memory dominated,conservative,conservative,0,4085,4084,0,0,2971,29.3976,0.6638,0,0,0,0.999755,6.077
18,5000,Serialized-memory dominated,conservative,conservative,0,4145,4144,0,0,3162,29.3506,0.6688,0,0,0,0.999759,6.2514
