cap,class_Control dominated_count,class_Control dominated_ratio,class_Resource-contention / compute dominated_count,class_Resource-contention / compute dominated_ratio,hold,hostSeconds,hyst,ipc,label,mode_aggressive_count,mode_aggressive_ratio,mode_conservative_count,mode_conservative_ratio,outdir,run_tag,simInsts,simSeconds,simTicks,switch_count,switch_ratio,window,windows
128,1805,0.283850,4554,0.716150,2,598.34,2,0.786175,w10000_h2_m2_cap128,4554,0.716150,1805,0.283850,/home/rock/project/gem5/runs/adaptive/v1/sweeps/week11_planA_50M/serialized_pointer_chase/w10000_h2_m2_cap128/serialized_pointer_chase/archive/2026-03-30T14_57_12-04_00,serialized_pointer_chase,50000000,0.031800,31799543000,1203,0.189181,10000,6359
64,1853,0.287020,4603,0.712980,2,591.94,2,0.774433,w10000_h2_m2_cap64,4602,0.712825,1854,0.287175,/home/rock/project/gem5/runs/adaptive/v1/sweeps/week11_planA_50M/serialized_pointer_chase/w10000_h2_m2_cap64/serialized_pointer_chase/archive/2026-03-30T14_37_27-04_00,serialized_pointer_chase,50000000,0.032282,32281697500,1235,0.191295,10000,6456
96,1829,0.285380,4580,0.714620,2,588.49,2,0.780085,w10000_h2_m2_cap96,4579,0.714464,1830,0.285536,/home/rock/project/gem5/runs/adaptive/v1/sweeps/week11_planA_50M/serialized_pointer_chase/w10000_h2_m2_cap96/serialized_pointer_chase/archive/2026-03-30T14_47_21-04_00,serialized_pointer_chase,50000001,0.032048,32047777500,1220,0.190357,10000,6409
128,1804,0.283737,4554,0.716263,3,583.43,2,0.786278,w10000_h2_m3_cap128,4554,0.716263,1804,0.283737,/home/rock/project/gem5/runs/adaptive/v1/sweeps/week11_planA_50M/serialized_pointer_chase/w10000_h2_m3_cap128/serialized_pointer_chase/archive/2026-03-30T15_26_53-04_00,serialized_pointer_chase,50000001,0.031795,31795359500,902,0.141869,10000,6358
64,1853,0.287064,4602,0.712936,3,590.90,2,0.774544,w10000_h2_m3_cap64,4603,0.713091,1852,0.286909,/home/rock/project/gem5/runs/adaptive/v1/sweeps/week11_planA_50M/serialized_pointer_chase/w10000_h2_m3_cap64/serialized_pointer_chase/archive/2026-03-30T15_07_13-04_00,serialized_pointer_chase,50000001,0.032277,32277049500,926,0.143455,10000,6455
96,1829,0.285424,4579,0.714576,3,583.94,2,0.780158,w10000_h2_m3_cap96,4580,0.714732,1828,0.285268,/home/rock/project/gem5/runs/adaptive/v1/sweeps/week11_planA_50M/serialized_pointer_chase/w10000_h2_m3_cap96/serialized_pointer_chase/archive/2026-03-30T15_17_06-04_00,serialized_pointer_chase,50000001,0.032045,32044775500,914,0.142634,10000,6408
128,1806,0.284007,4553,0.715993,2,596.60,3,0.786198,w10000_h3_m2_cap128,4555,0.716308,1804,0.283692,/home/rock/project/gem5/runs/adaptive/v1/sweeps/week11_planA_50M/serialized_pointer_chase/w10000_h3_m2_cap128/serialized_pointer_chase/archive/2026-03-30T15_56_31-04_00,serialized_pointer_chase,50000000,0.031799,31798607000,1203,0.189181,10000,6359
64,1854,0.287175,4602,0.712825,2,592.56,3,0.774369,w10000_h3_m2_cap64,4603,0.712980,1853,0.287020,/home/rock/project/gem5/runs/adaptive/v1/sweeps/week11_planA_50M/serialized_pointer_chase/w10000_h3_m2_cap64/serialized_pointer_chase/archive/2026-03-30T15_36_39-04_00,serialized_pointer_chase,50000000,0.032284,32284358500,1235,0.191295,10000,6456
96,1830,0.285536,4579,0.714464,2,594.00,3,0.780044,w10000_h3_m2_cap96,4579,0.714464,1830,0.285536,/home/rock/project/gem5/runs/adaptive/v1/sweeps/week11_planA_50M/serialized_pointer_chase/w10000_h3_m2_cap96/serialized_pointer_chase/archive/2026-03-30T15_46_34-04_00,serialized_pointer_chase,50000000,0.032049,32049484000,1219,0.190201,10000,6409
128,1807,0.284075,4554,0.715925,3,576.65,3,0.785997,w10000_h3_m3_cap128,4556,0.716240,1805,0.283760,/home/rock/project/gem5/runs/adaptive/v1/sweeps/week11_planA_50M/serialized_pointer_chase/w10000_h3_m3_cap128/serialized_pointer_chase/archive/2026-03-30T16_26_10-04_00,serialized_pointer_chase,50000000,0.031807,31806726000,903,0.141959,10000,6361
