window_id,cycles,class,target_mode,applied_mode,switched,fetched_insts,committed_insts,squashed_insts,branch_mispredicts,commit_blocked_mem_cycles,avg_outstanding_misses_proxy,avg_iq_occupancy,iq_saturation_ratio,branch_recovery_ratio,squash_ratio,commit_activity_ratio,avg_inflight_proxy
1,5000,High-MLP memory dominated,aggressive,aggressive,0,6303,6164,78,13,652,28.2808,7.6716,0,0.0032,0.0123751,0.977947,18.5332
2,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6336,6336,0,0,450,29.0834,8.0648,0,0,0,1,19.0122
3,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6144,6144,0,0,352,29.1712,7.8208,0,0,0,1,18.3168
4,5000,Resource-contention / compute dominated,aggressive,aggressive,0,5568,5568,0,0,319,29.4364,7.0876,0,0,0,1,16.5996
5,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6336,6300,0,0,363,29.0828,8.0594,0,0,0,0.994318,18.8646
6,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6144,6180,0,0,352,29.1712,7.8266,0,0,0,1.00586,18.3414
7,5000,Resource-contention / compute dominated,aggressive,aggressive,0,5576,5573,0,0,331,29.4348,7.0894,0,0,0,0.999462,16.62
8,5000,Resource-contention / compute dominated,aggressive,aggressive,0,6328,6331,0,0,353,29.0844,8.0634,0,0,0,1.00047,18.8716
9,5000,High-MLP memory dominated,aggressive,aggressive,0,12109,11052,587,12,685,23.2338,43.4422,0.0312,0.0188,0.0484763,0.91271,75.4388
10,5000,High-MLP memory dominated,aggressive,aggressive,0,12554,12547,0,0,777,25.2326,54.67,0.0408,0,0,0.999442,91.5686
11,5000,High-MLP memory dominated,aggressive,aggressive,0,12548,12568,0,0,777,25.2302,54.6626,0.0408,0,0,1.00159,91.5558
12,5000,High-MLP memory dominated,aggressive,aggressive,0,12563,12552,0,0,777,25.233,54.66,0.0406,0,0,0.999124,91.5608
13,5000,High-MLP memory dominated,aggressive,aggressive,0,12553,12557,0,0,778,25.2316,54.6444,0.0408,0,0,1.00032,91.5594
14,5000,High-MLP memory dominated,aggressive,aggressive,0,12571,12564,0,0,777,25.238,54.6608,0.0406,0,0,0.999443,91.5874
15,5000,High-MLP memory dominated,aggressive,aggressive,0,12556,12553,0,0,777,25.2338,54.6568,0.0408,0,0,0.999761,91.575
16,5000,High-MLP memory dominated,aggressive,aggressive,0,12558,12551,0,0,780,25.2362,54.677,0.0406,0,0,0.999443,91.5902
17,5000,High-MLP memory dominated,aggressive,aggressive,0,12553,12562,0,0,780,25.2312,54.6602,0.0408,0,0,1.00072,91.5612
18,5000,High-MLP memory dominated,aggressive,aggressive,0,12554,12546,0,0,777,25.2346,54.6782,0.0408,0,0,0.999363,91.5786
19,5000,High-MLP memory dominated,aggressive,aggressive,0,12540,12547,0,0,777,25.2296,54.6616,0.0408,0,0,1.00056,91.5586
20,5000,High-MLP memory dominated,aggressive,aggressive,0,12554,12568,0,0,777,25.2332,54.671,0.0408,0,0,1.00112,91.5662
21,5000,High-MLP memory dominated,aggressive,aggressive,0,9037,9015,0,0,1052,25.058,57.294,0.3028,0,0,0.997566,91.907
22,5000,High-MLP memory dominated,aggressive,aggressive,0,10669,10678,0,0,995,25.046,56.0714,0.1728,0,0,1.00084,90.48
23,5000,High-MLP memory dominated,aggressive,aggressive,0,12562,12559,0,0,777,25.2382,54.6608,0.0406,0,0,0.999761,91.5844
24,5000,High-MLP memory dominated,aggressive,aggressive,0,12559,12557,0,0,778,25.2346,54.6672,0.0408,0,0,0.999841,91.5818
25,5000,High-MLP memory dominated,aggressive,aggressive,0,12554,12560,0,0,779,25.2336,54.6682,0.0406,0,0,1.00048,91.5782
26,5000,High-MLP memory dominated,aggressive,aggressive,0,12548,12546,0,0,780,25.2328,54.67,0.041,0,0,0.999841,91.5696
27,5000,High-MLP memory dominated,aggressive,aggressive,0,12554,12547,0,0,777,25.2326,54.67,0.0406,0,0,0.999442,91.5692
28,5000,High-MLP memory dominated,aggressive,aggressive,0,12540,12562,0,0,777,25.2312,54.6672,0.041,0,0,1.00175,91.5638
