
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010440                       # Number of seconds simulated (Second)
simTicks                                  10439559500                       # Number of ticks simulated (Tick)
finalTick                                 10439559500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    493.36                       # Real time elapsed on the host (Second)
hostTickRate                                 21160087                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2252920                       # Number of bytes of host memory used (Byte)
simInsts                                     50000000                       # Number of instructions simulated (Count)
simOps                                       52808874                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   101346                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     107039                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         20879120                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.417582                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.394737                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        52825616                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.instsIssued                       53283596                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     77                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                16666                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             48802                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            20878162                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.552121                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.261683                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3990075     19.11%     19.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5322007     25.49%     44.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2774688     13.29%     57.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2354164     11.28%     69.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1695399      8.12%     77.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2128640     10.20%     87.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1148244      5.50%     92.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    684099      3.28%     96.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    780846      3.74%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              20878162                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   25523      4.94%      4.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     15      0.00%      4.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      4.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      4.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      4.95% # attempts to use FU when none available (Count)
