window_id,cycles,class,target_mode,applied_mode,switched,fetched_insts,committed_insts,squashed_insts,branch_mispredicts,commit_blocked_mem_cycles,avg_outstanding_misses_proxy,avg_iq_occupancy,iq_saturation_ratio,branch_recovery_ratio,squash_ratio,commit_activity_ratio,avg_inflight_proxy
1,5000,High-MLP memory dominated,aggressive,aggressive,0,2876,2550,153,13,2223,29.6616,0.7702,0,0.0054,0.0531989,0.886648,5.2416
2,5000,High-MLP memory dominated,aggressive,aggressive,0,2304,2312,0,0,2250,30.7664,0.6846,0,0,0,1.00347,4.876
3,5000,High-MLP memory dominated,aggressive,aggressive,0,2560,2548,0,0,2276,30.6306,0.759,0,0,0,0.995313,5.1924
4,5000,High-MLP memory dominated,aggressive,aggressive,0,2163,2195,0,0,2454,30.8146,0.6432,0,0,0,1.01479,4.8624
5,5000,High-MLP memory dominated,aggressive,aggressive,0,2445,2417,0,0,2259,30.7194,0.7252,0,0,0,0.988548,5.0174
6,5000,High-MLP memory dominated,aggressive,aggressive,0,2403,2431,0,0,2251,30.678,0.7184,0,0,0,1.01165,5.0318
7,5000,High-MLP memory dominated,aggressive,aggressive,0,2205,2180,0,0,2527,30.8554,0.6498,0,0,0,0.988662,4.919
8,5000,High-MLP memory dominated,aggressive,aggressive,0,2560,2553,0,0,2207,30.6306,0.7594,0,0,0,0.997266,5.1394
9,5000,High-MLP memory dominated,aggressive,aggressive,0,2304,2311,0,0,2302,30.7664,0.6846,0,0,0,1.00304,4.91
10,5000,High-MLP memory dominated,aggressive,aggressive,0,2304,2297,0,0,1976,30.7676,0.6834,0,0,0,0.996962,4.6216
11,5000,High-MLP memory dominated,aggressive,aggressive,0,2304,2311,0,0,2303,30.763,0.685,0,0,0,1.00304,4.9072
12,5000,High-MLP memory dominated,aggressive,aggressive,0,2520,2544,0,0,2219,30.625,0.759,0,0,0,1.00952,5.1544
13,5000,High-MLP memory dominated,aggressive,aggressive,0,2088,2069,0,0,2578,30.9022,0.6102,0,0,0,0.9909,4.8082
14,5000,High-MLP memory dominated,aggressive,aggressive,0,2560,2548,0,0,2210,30.6306,0.759,0,0,0,0.995313,5.1396
15,5000,High-MLP memory dominated,aggressive,aggressive,0,2304,2311,0,0,2302,30.7664,0.6846,0,0,0,1.00304,4.9116
16,5000,High-MLP memory dominated,aggressive,aggressive,0,2304,2301,0,0,2463,30.7676,0.6838,0,0,0,0.998698,5.0106
17,5000,High-MLP memory dominated,aggressive,aggressive,0,2304,2312,0,0,2250,30.7664,0.6846,0,0,0,1.00347,4.876
18,5000,High-MLP memory dominated,aggressive,aggressive,0,2560,2548,0,0,2291,30.6306,0.7594,0,0,0,0.995313,5.2052
19,5000,High-MLP memory dominated,aggressive,aggressive,0,2048,2060,0,0,1981,30.9034,0.6086,0,0,0,1.00586,4.3212
20,5000,High-MLP memory dominated,aggressive,aggressive,0,2560,2552,0,0,2291,30.6306,0.7594,0,0,0,0.996875,5.2054
21,5000,High-MLP memory dominated,aggressive,aggressive,0,2304,2312,0,0,2250,30.7664,0.6846,0,0,0,1.00347,4.876
