
---------- Begin Simulation Statistics ----------
simSeconds                                   0.049107                       # Number of seconds simulated (Second)
simTicks                                  49106787500                       # Number of ticks simulated (Tick)
finalTick                                 49106787500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    988.40                       # Real time elapsed on the host (Second)
hostTickRate                                 49683055                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2257004                       # Number of bytes of host memory used (Byte)
simInsts                                     50000005                       # Number of instructions simulated (Count)
simOps                                       54509004                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    50587                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      55149                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         98213576                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.964271                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.509095                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        84463343                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.instsIssued                       65548091                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   9117                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             29954263                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         100310311                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.numIssuedDist::samples            98212802                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.667409                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.399175                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  70726009     72.01%     72.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11155940     11.36%     83.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7209201      7.34%     90.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3625930      3.69%     94.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2186392      2.23%     96.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1160308      1.18%     97.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    757016      0.77%     98.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1129293      1.15%     99.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    262713      0.27%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              98212802                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  214598     87.76%     87.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     87.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     87.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     87.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     87.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     87.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     87.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     87.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     87.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     87.76% # attempts to use FU when none available (Count)
